gene	DNAme.Ave	H3K4me3.Ave	H3K4me1.Ave	H3K27ac.Ave	H3K27me3.Ave
UMOD	0.369631417	4.318712454	6.437596964	7.34742226	1.064733856
RGS5	0	3.682076119	9.870802096	1.63802498	0.460861956
NPHS2	0.209477265	2.749469757	0.573774187	1.021446267	5.075397403
ACTA2	0.210225033	6.553252623	6.128098486	4.610964056	0.972826109
MT1G	0.276150604	62.11035618	2.618523767	8.253258446	3.320602372
SPINK1	0.265179206	1.042676474	4.558518597	1.535581975	3.314306134
ALDOB	0.4375	84.75706991	2.197467912	15.64099447	1.104136535
TPM2	0.216928218	28.04638665	0.839219444	4.87601267	0.300846334
MYL9	0.23790478	7.506136906	0.505939359	4.739765895	0.537983971
C11orf96	0.097613267	6.958960673	1.814629478	0.997354246	4.418911221
PTPRO	0.036523408	16.81374165	2.862561658	1.120875767	6.448340615
MGP	0	34.15828772	13.37454191	8.390517989	1.101712324
NDNF	0.050211781	45.9946467	13.49037824	1.182552595	13.63488549
RAMP2	0.073170729	11.73784266	3.424149658	3.380109545	1.716295231
ADIRF	0.06428087	42.00473481	3.05698389	10.98803108	1.022889011
FGF1	0.632263307	0.690146836	1.924579503	1.847375578	1.940621936
SLC9A3R2	0.326839132	4.647834743	0.261374517	2.448336726	0.503710104
GATM	0.050492068	70.60940989	1.632720682	13.66263183	1.618760346
EGFL7	0.299113346	7.385432358	1.384759821	2.697909788	5.659333865
MIOX	0.371337466	16.47894526	1.214769034	7.980260441	1.392678786
MT1H	0.187016763	30.73159952	2.143599402	6.518673623	2.867467595
PDZK1IP1	0.328174079	33.36532556	3.382992125	21.91628262	0.862941818
PCOLCE2	0.037085534	36.82243239	2.586963384	1.538980727	5.890448825
CALD1	0.524839744	48.16331399	4.768431691	6.548830328	1.655859086
PTPRB	0.054169802	14.03689533	1.34859116	1.808994459	3.895793683
PLAT	0	4.049501703	3.221354287	1.844256301	3.565615685
HLA-DPB1	0	7.369301467	4.104316577	6.306274717	0.9088773
AQP3	0.183738984	27.35934903	3.476050598	12.25563293	1.075173535
PLAC9	0.183155269	9.991259068	1.917200957	1.096223997	5.079808445
HLA-DRA	0.241295941	41.58859112	4.508211042	6.626575034	0.839695115
RAMP3	0.019806764	1.978832316	0.233874963	0.886569725	2.506652735
HLA-DPA1	0.370958158	23.07813163	2.874633555	4.726201896	1.699988516
GSTA1	0.656862766	177.5129444	3.734212223	15.32854891	2.446968348
LTB	0.09548559	48.70213072	1.09013993	7.099130732	0.312778919
PODXL	0.085848633	19.42136385	0.583510347	2.523494561	0.768619519
AIF1	0	5.484194656	4.066832085	4.841173579	0.306593523
BGN	0.33571662	3.902615088	1.944204583	1.548606777	2.196050495
TMSB4X	0.158006379	27.70672782	0.61050267	3.543911652	0.799743872
SOX18	0.075718458	2.860942515	0.759916212	0.318805802	2.376674992
MT1X	0.240764135	83.8497713	2.38000789	11.62738567	0.524333944
WFDC2	0.096005877	15.57879607	2.464185907	5.848488369	2.425044691
NAT8	0.345349014	38.84854182	7.058795482	18.44264238	0.570843313
CRHBP	0.087922421	50.48457431	2.291268818	3.36876012	5.319522127
S100A2	0.207925335	2.215483157	1.072692471	12.26479824	0.818917506
HLA-DRB1	0.326086968	42.83713803	5.085259369	10.11667964	1.401340198
HSPG2	0.117227993	10.33287036	0.911385705	3.956088444	0.254724336
FABP1	0	174.6561899	1.200913635	14.68904672	4.796456971
CORO1A	0.07953861	16.99182968	0.469720741	4.264921274	0.234862874
UGT2B7	0.336649904	93.38070084	4.046638094	33.16558624	0.512500689
KNG1	0.548951045	4.626496508	7.45442815	5.171991372	1.028252026
HYAL2	0.013656634	34.3446199	0.897701599	11.73300979	0.298234746
PLPP1	0	83.30068498	1.285531769	11.71771232	0.683286868
STC1	0	19.58505921	13.3425734	2.530230186	6.291249603
HES4	0.061844758	2.940454017	0.658627689	2.610887153	2.092945627
CALCRL	0.083333336	125.9499222	6.329152031	10.6487995	0.495698951
CSRP2	0.100958867	83.25104879	1.164793305	10.84966103	1.390857412
CAV1	0.063578739	43.67441881	5.8538767	2.921707067	4.16656892
CHI3L1	0.504070861	1.468771082	3.604658795	5.560136873	1.079931753
HPD	0.406785331	23.81338128	3.969089546	19.12335958	0.320511782
LRP2	0.022779757	60.81763291	3.712847956	8.297870413	4.673117914
NOTCH3	0.08636364	0.671299296	0.198173687	1.063417689	1.255932621
GSTA2	0.449999988	5.662674989	15.83073065	11.90904253	0.831474797
SH3BGRL3	0.007692308	33.534316	1.69905282	12.51155072	0.201414345
SLCO2A1	0.087242641	23.43789797	0.797381562	4.164414499	1.377932378
LGALS1	0.301653242	3.628454641	1.940471205	7.049976633	0.333987789
MFGE8	0.109711366	25.87548145	1.756261884	1.823975844	1.673519376
MCAM	0.023809524	9.516383654	4.695609657	2.473099085	4.049905272
PLPP3	0.017281106	79.35380021	0.444521888	21.32978457	0.462622181
CUBN	0.527946144	32.25764986	2.111854794	8.031375735	0.440475841
NTNG1	0.02631579	55.31470048	5.579059143	2.123528637	4.734343999
KDR	0.043333334	4.449513783	0.906462441	1.376160972	9.403873976
ASS1	0.177769262	9.80160275	0.822902261	7.085136263	1.128248211
APOE	0.085813957	28.92543854	1.147303858	9.461152246	2.613703476
LBH	0.040626431	50.61527674	0.551245553	4.591125982	0.731802239
NPDC1	0.025066473	5.402474251	1.339626491	1.468853911	3.053029783
FRZB	0.216581673	37.52786701	6.060421961	2.528825148	3.505188422
SRGN	0	19.34375689	1.752566703	3.865408343	0.740295074
ARHGDIB	0.37563026	2.335176716	14.50176035	7.705365965	0.310850573
LGALS2	0.486641437	33.19179563	1.270016532	6.485363138	0.273198959
COL1A2	0.137663487	19.9806821	6.756408308	2.355241582	3.640166252
FLNA	0.328165982	10.7137734	3.050811123	5.281330157	1.448804953
RBP5	0.315065048	70.34768242	2.098760838	11.41841524	0.736439079
RBP7	0.070659676	10.5384865	1.070834424	1.49825655	1.370158391
HSD11B2	0.080916626	11.10594134	0.698289725	6.472280986	0.549944452
HLA-DQB1	0.196078435	36.68364204	3.942069277	6.40030013	1.444076114
S100A8	0	0.918716979	0.240887131	0.571983789	0.692865674
CAVIN2	0	38.54014195	12.11891699	5.239582359	2.613946974
NRGN	0.035844974	10.7725211	1.03752429	2.43288133	1.820270254
FAM167B	0.087475935	3.875378652	1.058403373	3.314728776	0.794052127
PCK1	0.354385665	28.65504244	3.715876875	10.5619439	1.13840299
MT1F	0.214994541	77.98427735	2.309693397	9.363930659	0.519572722
TM4SF18	0.544678271	21.00682058	9.038900594	9.308133908	0.46676707
HEG1	0	84.58103816	3.155119966	7.684898069	0.610770943
RAC2	0.239470685	2.326885884	0.427213895	2.148008588	2.349873155
SPP1	0.288065857	24.53178042	5.148727428	8.28254524	0.91391668
PPP1R14A	0.132153339	5.444113424	0.996535965	1.790490309	2.400970679
FAM89A	0.050575637	26.83118758	0.622531045	2.404306585	0.615803898
C11orf54	0.50138336	44.4990464	3.15390552	18.40487675	0.527221227
TNNT2	0.190522878	6.610077607	1.853669626	4.49355585	1.772961546
KHK	0.044753535	42.00563509	0.768994852	9.220049004	0.356209994
ETS2	0.147500322	17.28267997	1.082700626	8.22899031	0.412178541
SNCG	0.278036064	8.003442123	7.815882911	18.44837124	0.380810082
COL1A1	0.081048094	13.35580025	1.381572398	3.237625695	1.350791589
TYRO3	0.060863684	3.632980236	0.495158664	1.255766343	0.465117235
CD74	0.21340819	58.2157111	3.790894048	22.39073522	0.467178412
BHMT	0.265121788	53.09259353	1.830825047	8.683633128	3.871668136
AQP1	0.357273159	19.29605605	2.145513971	8.748297532	0.644201601
SEC14L1	0.044677661	18.0292017	0.481350519	7.159348198	0.304159085
ANPEP	0.530378814	49.3235424	1.030698325	8.955188338	0.552426532
SLC14A1	0	0.82493814	1.367227455	0.975966288	3.516464725
ITGB2	0.10348584	2.511753475	6.385921	3.660128805	1.281727126
DCN	0	6.991702437	1.62479248	1.975650376	2.020360646
