gene	DTL	Interstitial	Immune	ATL/TAL	EC	PC	PT	TAL	IC	CNT	DCT	PEC	POD
UMOD	1.591816845	2.216987729	0.709104509	3.491865228	0.9009052	1.45345296	0.228501179	5.340488526	0.710594352	1.20313024	1.863841117	0.954373897	1.694477933
RGS5	0.142774201	3.765780883	0.041464104	0.11644449	0.468477143	0.096164416	0.082554327	0.086609771	0.063702427	0.066399076	0.033789997	0.530624978	0.017229281
NPHS2	0	0.002046541	0.001434445	0.000178498	0.003179274	0.002965029	0.002985796	0.001289988	0.001391652	0.001439202	0.001433364	0.184275046	3.278568065
ACTA2	0.04552749	3.23145875	0.068247006	0.067231308	0.082728077	0.03738581	0.054404795	0.029667201	0.014961628	0.049750138	0.019879744	0.252227676	0.042206163
MT1G	1.878500831	1.629081429	0.889484199	1.628061492	1.097709282	1.501465434	4.679233719	1.735260882	1.061442736	1.231910144	2.537695358	1.97644767	0.465475864
SPINK1	0.034856298	0.229663172	0.061575924	0.262153958	0.017770908	1.227467566	0.040360399	0.190368251	3.443331094	0.397776754	0.353827169	0.067398338	0.135144569
ALDOB	0.152180056	0.215325461	0.136915355	0.100692607	0.298584797	0.336420813	3.273496665	0.155758062	0.159077802	0.169305508	0.267271857	0.489393601	0.144744663
TPM2	0.190684119	3.080583734	0.145609454	0.141286669	0.34620931	0.074086013	0.109265689	0.061519429	0.039619971	0.069367573	0.03904956	1.061909954	2.367319168
MYL9	0.750150921	3.223771167	0.028564872	0.261154624	0.519380353	0.382535593	0.291279225	0.186756792	0.186879605	0.379769876	0.150768674	1.648340616	2.712587296
C11orf96	0.01717546	2.989780466	0.017727858	0.021019477	1.042782625	0.015501046	0.012158831	0.016394282	0.016078554	0.020415752	0.01054365	0.141499916	0.083015924
PTPRO	0.037445555	0.003352649	0.062813776	0.000833974	0.001816387	0.00978214	0.028231216	0.001581382	0.001483081	0.001147281	0.001507005	0.174251912	2.796159957
MGP	0.138656051	3.715534044	0.100021191	0.177486792	2.94644848	0.683526436	0.329864655	0.152247771	0.360446426	1.537417813	0.156874597	2.71873958	2.27646819
NDNF	0	0.015241472	0.000687499	0.001143605	0.063365666	0.01344138	0.001036873	0.000672868	0.000700205	0.003391315	0.002097146	0.027259802	2.632359169
RAMP2	0.048439864	0.270195708	0.019843478	0.089969434	2.680016604	0.096182274	0.045525908	0.05276928	0.182445397	0.090380759	0.064490018	0.047719084	0.51635758
ADIRF	1.822540838	4.120925896	0.115458469	2.248633829	2.121799907	0.717263922	1.937563256	1.510722406	0.42016308	0.748959811	0.992177499	1.467813567	1.280057202
FGF1	0.019887336	0.18651786	0.003375591	0.000911534	0.016769819	0.003721094	0.012517603	0.002199405	0.0104476	0.001706425	0.004043843	0.081063887	2.602724207
SLC9A3R2	0.202065435	0.679831255	0.049848612	0.179511643	2.720469022	0.090711279	0.107184035	0.093487256	0.086866727	0.077291112	0.058664569	0.781348962	1.879454885
GATM	0.484908944	0.296160227	0.211331761	0.226844971	0.256319801	0.545464641	2.912941347	0.439916064	0.148601236	0.277827813	0.276146067	0.667201934	0.218709384
EGFL7	0.180665314	0.243982328	0.076550266	0.202315958	2.681388382	0.096464866	0.097162016	0.122751168	0.429427859	0.145413906	0.144421739	0.057492089	0.571157291
MIOX	0.173173274	0.180950831	0.09242582	0.06880255	0.175831684	0.198878856	2.653924938	0.106159104	0.050145711	0.093877719	0.141360232	0.317398349	0.108897266
MT1H	0.631733206	0.509098919	0.327009966	0.591208393	0.276464484	0.536040692	2.964986828	0.573615273	0.310937903	0.346291966	1.420177197	0.746807209	0.101416375
PDZK1IP1	1.274201093	0.299247587	0.129508847	1.119852763	0.177915176	0.528147346	2.932556397	0.333856579	0.279339025	0.921858282	0.263581644	2.683287309	1.613075285
PCOLCE2	0.001811477	0.056645399	0.002849446	0.003367638	0.000982499	0.007494985	0.005002483	0.002353711	0.026794034	0.002443835	0.005008193	0.055646758	2.347982405
CALD1	0.73003777	2.863796263	0.066646751	0.207601775	1.273274292	0.142624069	1.012239834	0.091624208	0.064355668	0.131323514	0.115225472	1.203373946	1.579690219
PTPRB	0.014889161	0.111656716	0.013184256	0.01723983	2.306351264	0.021292861	0.014126379	0.019155153	0.020186598	0.012479536	0.008529181	0.01790139	0.487672178
PLAT	0.036173599	0.345002887	0.019674199	0.094845369	2.301649137	0.012258735	0.031678315	0.016061336	0.018824639	0.012846042	0.010615156	0.583328942	0.682219064
HLA-DPB1	0.291044357	0.42605139	2.772004467	0.1499385	1.780593863	0.38585747	0.385341958	0.112418894	0.220833057	0.269723064	0.15292126	0.216416462	0.279801346
AQP3	0.090308888	0.291706376	0.32119425	0.160774044	0.034369914	2.717383276	0.243692014	0.193615391	0.871466046	1.929669747	0.163118249	0.465015352	0.520728785
PLAC9	0.018576179	2.295469567	0.005772046	0.014447564	0.516367855	0.009404178	0.011305196	0.010651641	0.010509909	0.019835383	0.01042837	0.018905922	0.154893997
HLA-DRA	0.467788475	0.575704363	3.516741312	0.856886794	2.824985518	1.197048584	1.130401061	0.63010191	0.86552494	1.164016071	0.580751994	0.472072925	0.690398056
RAMP3	0.017045857	0.051263493	0.010407834	0.014457658	2.206103505	0.017221621	0.012874773	0.014925028	0.015265241	0.006667792	0.007867485	0.044324837	1.560424561
HLA-DPA1	0.165254024	0.334100164	2.830626755	0.222649425	2.134899987	0.472658879	0.489463871	0.106686599	0.312559824	0.335116165	0.179767157	0.1834054	0.303957459
GSTA1	0.072210195	0.158975681	0.065863896	0.121635925	0.130121681	0.117108273	2.32255843	0.592847384	0.056750565	0.076523346	0.18733859	0.398569394	0.146878881
LTB	0.25814923	0.062842313	2.161736283	0.414723497	0.038917188	0.054673129	0.126341523	0.047089171	0.096551941	0.148438893	0.036828439	0.243821609	0.013180324
PODXL	0.054693367	0.165469193	0.019699847	0.086302684	2.212206187	0.05636639	0.037433009	0.042669531	0.035717446	0.034202565	0.041775347	0.427211755	4.122301613
AIF1	0.062442859	0.078360188	2.121191916	0.033260262	0.049274361	0.061468565	0.069869982	0.028276845	0.02379421	0.017706592	0.039960689	0.303309393	2.967548886
BGN	0.318897474	2.20161701	0.022458286	0.101612733	0.308979252	0.037082703	0.310633923	0.116004541	0.010906554	0.023112805	0.009573432	1.985669307	1.410611763
TMSB4X	2.388671787	3.507852106	4.794752352	2.430858392	3.715901109	3.355594647	2.176282834	1.408936687	3.152868268	3.169968158	1.702042699	2.921228411	4.410442966
SOX18	0.054324226	0.230877238	0.012193534	0.012328047	2.030876012	0.030524728	0.013574815	0.016462845	0.019444413	0.010576412	0.005842738	0.036843411	0.202673152
MT1X	1.363834028	2.086430721	0.88590816	1.080934218	1.691707163	1.131966335	3.2234359	0.933546235	1.498902543	1.072437278	1.131264487	1.84546545	1.236157089
WFDC2	2.622793164	1.446920387	0.40336345	4.764006145	0.322558803	3.454834495	2.343646784	3.190067099	3.26182731	3.803730977	2.725351898	1.770500132	0.63535044
NAT8	0.220365894	0.094452162	0.058430151	0.195787744	0.078502839	0.156687018	2.088517361	0.137168092	0.044047889	0.059999999	0.077123281	0.44260616	0.048306009
CRHBP	0.000748719	0.027467299	0.017930972	0.007753913	1.980661239	0.007135657	0.018285042	0.011941005	0.021082913	0.005635835	0.014697994	0.019539994	0.611129302
S100A2	1.532687284	0.648290599	0.164057056	3.536089791	0.21258316	1.863263254	0.45382425	2.283723376	1.746441957	2.748426082	1.775718724	0.600965612	0.264296717
HLA-DRB1	0.395627274	0.558880128	3.310729086	0.78812727	2.953312725	1.138159631	1.167606328	0.446197526	0.791252569	1.134894767	0.449924803	0.699117274	0.733973545
HSPG2	0.696963495	0.672989309	0.026296255	0.626007735	2.285598469	0.544963487	0.212238462	0.288271598	0.206214484	0.53791851	0.284790071	0.648786155	0.172606073
FABP1	0.024355588	0.070361048	0.029472161	0.024847985	0.074009715	0.064029631	1.993002707	0.041098384	0.025856098	0.041650362	0.061911984	0.125841289	0.043464373
CORO1A	0.005685353	0.054024231	1.949517569	0.025979658	0.034551613	0.028502773	0.03080265	0.020130646	0.023567023	0.022037559	0.01445574	0.006761535	0.015281184
UGT2B7	0.921861634	0.135572743	0.079004724	0.366136963	0.125962785	0.202520962	2.102240972	0.123013857	0.085334413	0.176984858	0.129105104	0.900611304	0.034527156
KNG1	0.365804295	0.62950451	0.139617711	1.508168079	0.160180535	1.038207996	0.107086206	3.0072083	0.631940538	1.601157225	3.056614185	0.20683776	0.31936652
HYAL2	0.298140572	0.24120497	0.068477241	0.400596521	2.116392501	0.286762187	0.196899342	0.214154148	0.258589425	0.299325751	0.270444567	0.301746949	0.553569769
PLPP1	0.207426393	0.498421907	0.0400688	0.157646166	2.025406991	0.17416477	0.143666596	0.062339409	0.18511009	0.254204798	0.10225841	0.173450887	0.486035258
STC1	0.070049105	0.118241253	0.016576146	0.081400275	0.164990961	2.236700581	0.060057255	0.082412101	0.5784725	2.041084939	0.169073584	0.079233438	0.073657938
HES4	0.737167757	2.286149948	0.212952063	0.518088202	0.947650995	0.540627174	0.222708239	0.415995736	0.300472425	0.872529744	0.204795243	0.879447881	0.641562582
CALCRL	0.070449439	0.351550376	0.032798811	0.132944889	1.930786785	0.039056281	0.176128691	0.023809149	0.016779714	0.021261084	0.017897124	0.197423764	0.274836188
CSRP2	0.177915362	2.15740753	0.019685683	0.331122955	0.25271838	0.096318676	0.398314151	0.702545679	0.074698781	0.185499098	0.27627564	0.157803987	0.098176127
CAV1	0.132563982	2.034581583	0.022001811	0.165799191	1.187991657	0.031689335	0.13409217	0.034306633	0.057026063	0.11821668	0.031045984	1.162750089	0.128519006
