Sample1	Sample2	log10ratio	Nlog10pval
Bulk.ATAC	Bulk.ATAC	2.740362689	199.4474291
Bulk.ATAC	Hypo.DNAme.Glom	1.579852164	199.4474291
Bulk.ATAC	Hyper.DNAme.Glom	0.887279635	199.4474291
Bulk.ATAC	Hypo.DNAme.TI	1.714094943	199.4474291
Bulk.ATAC	Hyper.DNAme.TI	0.231724383	191.4474291
Bulk.ATAC	H3K4me3	1.819504452	199.4474291
Bulk.ATAC	H3K4me1	2.740362689	199.4474291
Bulk.ATAC	H3K27Ac	2.740362689	199.4474291
Bulk.ATAC	H3K27me3	-2.070581074	199.4474291
Hypo.DNAme.Glom	Hypo.DNAme.Glom	2.740362689	199.4474291
Hypo.DNAme.Glom	Hyper.DNAme.Glom	-0.651695137	109.7529109
Hypo.DNAme.Glom	Hypo.DNAme.TI	2.455487445	199.4474291
Hypo.DNAme.Glom	Hyper.DNAme.TI	1.062732363	199.4474291
Hypo.DNAme.Glom	H3K4me3	1.849603658	199.4474291
Hypo.DNAme.Glom	H3K4me1	2.740362689	199.4474291
Hypo.DNAme.Glom	H3K27Ac	2.740362689	199.4474291
Hypo.DNAme.Glom	H3K27me3	0.454387467	199.4474291
Hyper.DNAme.Glom	Hyper.DNAme.Glom	2.740362689	199.4474291
Hyper.DNAme.Glom	Hypo.DNAme.TI	1.299855815	199.4474291
Hyper.DNAme.Glom	Hyper.DNAme.TI	-0.238072162	13.67290683
Hyper.DNAme.Glom	H3K4me3	1.104828404	199.4474291
Hyper.DNAme.Glom	H3K4me1	1.400296168	199.4474291
Hyper.DNAme.Glom	H3K27Ac	2.740362689	199.4474291
Hyper.DNAme.Glom	H3K27me3	-0.514278574	199.4474291
Hypo.DNAme.TI	Hypo.DNAme.TI	2.740362689	199.4474291
Hypo.DNAme.TI	Hyper.DNAme.TI	-0.818156412	160.6035217
Hypo.DNAme.TI	H3K4me3	2.703947055	199.4474291
Hypo.DNAme.TI	H3K4me1	2.740362689	199.4474291
Hypo.DNAme.TI	H3K27Ac	2.740362689	199.4474291
Hypo.DNAme.TI	H3K27me3	0.268577972	199.4474291
Hyper.DNAme.TI	Hyper.DNAme.TI	2.740362689	199.4474291
Hyper.DNAme.TI	H3K4me3	0.049992857	8.847895199
Hyper.DNAme.TI	H3K4me1	0.249442961	199.4474291
Hyper.DNAme.TI	H3K27Ac	1.455682165	199.4474291
Hyper.DNAme.TI	H3K27me3	-0.188424994	199.4474291
H3K4me3	H3K4me3	2.740362689	199.4474291
H3K4me3	H3K4me1	2.740362689	199.4474291
H3K4me3	H3K27Ac	2.740362689	199.4474291
H3K4me3	H3K27me3	-0.76700389	199.4474291
H3K4me1	H3K4me1	2.740362689	199.4474291
H3K4me1	H3K27Ac	2.740362689	199.4474291
H3K4me1	H3K27me3	-1.124938737	199.4474291
H3K27Ac	H3K27Ac	2.740362689	199.4474291
H3K27Ac	H3K27me3	-2.045757491	199.4474291
H3K27me3	H3K27me3	2.740362689	199.4474291
